sept_paystat,AGE,LIMIT_BAL,sept_bill,aug_bill,sept_payment,july_bill,june_bill,aug_payment,april_bill,may_bill,april_payment,y_actual
2,24,20000,3913,3102,0,689,0,689,0,0,0,1
-1,26,120000,2682,1725,0,2682,3272,1000,3261,3455,2000,1
0,34,90000,29239,14027,1518,13559,14331,1500,15549,14948,5000,0
0,37,50000,46990,48233,2000,49291,28314,2019,29547,28959,1000,0
-1,57,50000,8617,5670,2000,35835,20940,36681,19131,19146,679,0
0,37,50000,64400,57069,2500,57608,19394,1815,20024,19619,800,0
0,29,500000,367965,412023,55000,445007,542653,40000,473944,483003,13770,0
0,23,100000,11876,380,380,601,221,601,567,-159,1542,0
0,28,140000,11285,14096,3329,12108,12211,0,3719,11793,1000,0
-2,35,20000,0,0,0,0,0,0,13912,13007,0,0
0,34,200000,11073,9787,2306,5535,2513,12,3731,1828,66,0
-1,51,260000,12261,21670,21818,9966,8517,9966,13668,22287,3640,0
-1,41,630000,12137,6500,1000,6500,6500,6500,2870,6500,0,0
1,30,70000,65802,67369,3200,65701,66782,0,36894,36137,0,1
0,29,250000,70887,67060,3000,63561,59696,3000,55512,56875,3000,0
1,23,50000,50614,29173,0,28116,28771,1500,30211,29531,1100,0
0,24,20000,15376,18010,3200,17428,18338,0,19104,17905,0,1
0,49,320000,253286,246536,10358,194663,70074,10000,195599,5856,50000,0
1,49,360000,0,0,0,0,0,0,0,0,0,0
1,29,180000,0,0,0,0,0,0,0,0,0,0
0,39,130000,38358,27688,3000,24489,20616,1537,930,11802,33764,0
-1,39,120000,316,316,316,316,0,316,316,632,0,1
2,26,70000,41087,42445,2007,45020,44006,3582,46012,46905,1820,1
-2,40,450000,5512,19420,19428,1473,560,1473,0,0,1128,1
0,23,90000,4744,7070,5757,0,5398,0,8292,6360,2000,0
0,23,50000,47620,41810,1973,36023,28967,1426,30046,29829,997,0
1,27,60000,-109,-425,0,259,-57,1000,-189,127,1000,1
0,30,50000,22541,16138,1300,17163,17878,1300,19617,18931,1012,0
-1,47,50000,650,3415,3415,3416,2040,3421,257,30430,0,0
0,26,50000,15329,16575,1500,17496,17907,1500,11400,18375,0,0
-1,27,230000,16646,17265,17270,13266,15339,13281,36923,14307,0,0
2,33,50000,30518,29618,1718,22102,22734,1500,23680,23217,716,1
0,32,100000,93036,84071,3023,82880,80958,3511,75589,78703,2504,0
-2,54,500000,10929,4152,4152,22722,7521,22827,8981,71439,51582,0
-2,58,500000,13709,5006,5006,31130,3180,31178,5293,0,768,0
-1,30,160000,30265,-131,131,-527,-923,396,-1884,-1488,0,0
0,40,280000,186503,181328,8026,180422,170410,8060,177413,173901,6737,0
0,22,60000,15054,9806,1500,11068,6026,1518,18660,-28335,617,0
1,25,50000,0,780,780,0,0,0,0,0,0,1
-1,31,280000,498,9075,9075,4641,9976,0,9477,17976,781,0
0,33,360000,218668,221296,10000,206895,628699,7000,179224,195969,4000,0
0,25,70000,67521,66999,3000,63949,63699,4500,65970,64718,2500,0
0,22,10000,1877,3184,1500,6003,3576,2927,4451,3670,500,0
0,37,140000,59504,61544,3000,62925,64280,3000,69802,67079,3000,0
0,30,40000,18927,21295,3000,25921,25209,5000,29197,26636,0,0
-2,29,210000,0,0,0,0,0,0,0,0,0,1
0,22,20000,14028,16484,3000,15800,16341,0,0,16675,0,1
0,46,150000,4463,3034,1013,1170,1170,1170,0,0,0,1
-1,32,380000,22401,21540,21540,15134,32018,15138,11873,11849,8251,0
0,24,20000,17447,18479,1318,19476,19865,1315,20063,20480,1069,0
1,42,70000,37042,36171,0,38355,39423,3100,39362,38659,1500,1
0,43,100000,61559,51163,2000,43824,39619,1606,33258,35762,1000,0
-2,49,310000,13465,7867,7875,7600,11185,7600,464,3544,0,0
1,25,180000,41402,41742,1300,42758,43510,2010,45319,44420,1622,0
2,29,150000,46224,34993,1600,31434,26518,1718,16540,21042,5000,0
-2,45,500000,1905,3640,3640,162,0,162,2530,151,0,0
0,34,180000,16386,15793,8500,8441,7142,1500,8321,-679,2000,0
0,34,180000,175886,173440,8083,172308,168608,7296,129918,132202,3800,0
-1,34,200000,1587,1098,0,782,1166,0,1414,700,0,0
0,29,400000,400134,398857,17000,404205,360199,15029,364089,356656,23000,0
0,28,500000,22848,23638,1516,18878,14937,1300,15571,13827,2000,1
0,39,70000,70800,72060,4025,69938,16518,2095,830,14096,0,0
2,29,50000,24987,24300,0,26591,25865,2700,28264,27667,0,1
0,46,50000,28718,29166,1000,0,0,0,0,0,0,1
-1,51,130000,99,0,0,0,0,0,0,2353,0,0
-2,57,200000,152519,148751,0,144076,8174,0,7918,8198,1000,1
2,56,10000,2097,4193,2300,3978,4062,0,4326,4196,160,1
2,30,210000,300,300,300,1159,2280,1159,4250,300,909,0
1,29,130000,-190,-9850,0,-9850,10311,0,7319,10161,13899,0
2,22,20000,18565,17204,0,17285,18085,1200,5982,11205,0,0
-1,31,80000,780,0,0,390,390,390,390,390,390,0
2,29,320000,58267,59246,2500,60184,58622,2500,63526,62307,1600,1
-1,32,200000,9076,5787,5818,-684,5247,15,3151,3848,1395,0
1,37,290000,0,0,0,3155,0,3155,0,2359,0,0
-1,32,340000,3048,5550,5713,23337,4291,23453,25820,80153,2016,0
0,24,20000,14619,17216,2850,16642,16976,0,18543,17332,0,0
-1,25,50000,42838,37225,1759,36087,9636,1779,10030,9590,1000,0
-1,45,300000,291,291,291,291,291,291,291,291,291,0
0,22,30000,28387,29612,1686,30326,28004,1400,6411,26446,0,1
1,44,240000,0,0,0,0,0,0,0,0,0,1
0,33,470000,165254,157784,6400,162702,69923,7566,29889,29271,3000,0
0,26,360000,23411,27796,4796,30400,33100,3400,196,180000,2963,0
0,30,60000,26324,27471,1576,28108,21993,1213,19771,19899,0,1
0,44,400000,131595,139060,10700,126819,104430,3,94058,104990,2800,0
0,49,50000,48909,47863,1676,21489,20414,1302,19482,19342,826,0
0,33,160000,130028,107808,4400,71934,118418,3547,120418,118407,4500,0
-1,45,360000,390,1170,1170,780,390,0,390,390,390,1
0,32,160000,3826,4751,1147,6604,8604,2000,766,7072,2303,0
0,35,130000,81313,117866,40000,17740,1330,5000,1190,7095,2090,0
2,44,20000,8583,8303,0,9651,10488,1651,11970,12314,1500,0
2,53,200000,138180,140774,6300,142460,144098,5500,149531,147124,5000,1
-1,39,280000,7524,0,0,3968,3868,3968,0,0,0,0
-2,27,100000,-2000,5555,7555,0,0,0,0,0,0,0
-1,37,160000,880,1602,1602,840,840,840,0,0,7736,0
0,23,60000,45648,46850,1937,47214,19595,1301,19323,19209,835,0
0,35,90000,83725,85996,3621,87653,35565,3597,30835,30942,1143,0
-1,43,360000,3967,8322,8339,3394,6451,3394,9956,26370,68978,0
0,27,150000,86009,86108,4031,89006,89775,10006,40788,87725,800,0
0,22,50000,18722,18160,1411,16997,13150,1194,7899,8866,197,0
0,38,20000,17973,19367,1699,19559,18240,1460,150,17928,0,1
-2,32,140000,672,10212,10212,850,415,850,1430,100,0,0
-2,30,380000,-81,-303,223,32475,32891,33178,34056,33564,5000,0
0,63,480000,422069,431342,16078,479432,487066,55693,469961,471145,24200,0
0,22,50000,44698,42254,1767,38347,32496,1362,24094,23477,904,1
2,26,60000,56685,55208,0,59175,60218,5000,55305,55447,3000,0
-1,24,70000,5580,0,0,0,0,0,26529,0,2000,0
-1,36,80000,6108,2861,2861,3277,3319,3279,1150,1150,1035,0
-1,52,350000,713,2272,2272,722,867,722,5263,1150,5011,0
0,38,130000,171438,178382,10908,39940,120483,0,126568,44127,4796,0
1,35,360000,-103,-103,0,-103,-103,0,-103,-103,0,0
0,31,330000,105879,108431,9260,105594,105896,0,107289,106491,0,0
0,47,50000,13244,14722,2000,15181,15928,1000,17393,16671,1000,0
2,41,280000,135673,138532,6500,134813,144401,0,149415,152174,5000,0
0,24,100000,52128,52692,2000,54477,56076,2677,59713,60100,2033,0
0,41,50000,19015,19294,1340,20259,20274,1305,19957,20311,684,0
-1,24,30000,18199,17618,0,18631,21319,1312,21201,20692,1000,1
-1,28,240000,326,326,326,326,5676,326,326,476,526,0
2,26,80000,14029,15493,2000,16630,17055,1700,18186,17629,1000,1
-1,34,400000,19660,9666,9677,11867,7839,11867,7959,14837,5712,0
0,38,240000,50254,51445,2000,53015,52479,3000,1203,1307,563,0
2,37,50000,46004,45976,1000,48953,48851,4035,51143,49318,0,1
1,40,450000,0,0,0,0,0,0,0,0,0,1
1,48,110000,0,0,0,0,0,0,0,0,0,0
2,35,310000,304991,311243,13019,306314,258610,11128,198889,246491,5987,1
0,27,20000,19115,18962,1404,19298,19378,1130,15630,19717,0,0
1,23,20000,0,0,0,0,0,0,0,0,0,0
0,52,200000,110151,99530,3568,98951,100914,3585,104993,103146,3784,0
0,36,180000,163736,116422,4655,99278,95766,2690,95927,97753,1000,1
0,51,50000,3347,3899,1000,4503,5347,1066,7077,6375,134,1
3,55,60000,60521,61450,2504,57244,28853,7,26547,29510,1500,0
1,23,30000,4000,5645,5645,3508,-27,3508,5906,13744,3024,0
1,41,240000,95,2622,2622,3301,3164,3301,1737,360,924,0
0,34,420000,253454,247743,9744,229049,220951,9553,188108,210606,11326,0
0,46,330000,227389,228719,8210,229644,227587,8095,228203,227775,8200,0
0,22,30000,28452,26145,2000,26712,25350,1400,-780,17603,1560,0
0,34,240000,10674,12035,1500,13681,13269,1800,13891,14158,327,0
0,27,150000,17444,19342,2500,22000,24614,3000,30229,27200,5000,0
0,33,210000,7166,7997,1500,8792,9189,1500,5708,4404,546,0
-1,51,50000,752,300,300,5880,0,5880,0,0,0,1
0,24,50000,50801,50143,2360,49586,19430,1700,18995,19375,2130,0
1,47,240000,0,0,0,0,0,0,0,0,0,1
-1,28,180000,1832,0,0,832,332,416,416,416,832,0
1,23,50000,10131,10833,1000,20583,19996,10000,18065,19879,600,0
-2,29,170000,12159,10000,10000,10000,10000,10000,15846,9983,10000,0
-1,29,20000,1199,15586,15586,344,2340,344,339,6702,330,0
0,28,50000,4999,5913,1000,7315,9195,1500,10138,10624,0,0
0,27,170000,19269,20313,1661,20852,17560,1200,9100,17918,0,1
1,34,200000,197236,176192,8000,93069,135668,5000,59875,132233,8500,0
1,23,80000,9168,10522,1650,10205,9898,0,12034,10123,1,0
1,60,260000,-1100,-1100,0,21400,0,22500,869,969,0,0
0,32,140000,86627,78142,3455,68336,64648,3110,55251,58319,2602,0
0,25,80000,42444,55744,30000,43476,41087,3000,31826,41951,14000,0
1,41,350000,208,2906,2906,1000,630,1000,0,0,0,0
0,56,280000,208775,182350,8042,132257,101783,6700,169311,177145,6321,0
0,26,30000,9014,10406,1700,11427,11935,1500,14206,13084,1500,0
0,34,140000,23944,28049,5000,32073,43129,5000,48699,47086,5504,0
0,37,200000,105420,102870,4000,89643,90938,3250,94031,92505,5000,0
0,30,200000,196031,196143,7300,189524,167163,7108,122324,146975,4500,0
2,45,210000,115785,122904,10478,129847,137277,10478,154105,145533,10478,1
3,57,50000,12854,12362,0,13447,13427,1600,14083,13711,600,0
2,41,30000,24357,27453,3500,26718,28168,0,28321,27579,1250,0
2,27,50000,390,390,390,780,216,780,540,1080,390,0
-1,47,290000,1234,396,396,396,792,396,423,396,369,0
0,34,250000,141223,156858,17994,151841,152803,0,160220,155997,3920,0
0,46,60000,21148,23803,3000,24908,26034,1500,27756,26655,1500,0
0,27,110000,101640,104795,5500,104855,74737,3900,77254,76058,2800,0
-2,50,370000,6093,15130,15383,8204,15398,8204,13453,4792,4699,0
-1,27,100000,102349,96847,3166,58824,29336,0,-246,22979,50000,0
0,35,90000,72112,73854,3500,75526,77317,3500,88290,85852,0,0
0,22,50000,28040,29092,1510,29366,27737,1442,28806,28318,567,0
0,37,270000,37695,33397,5000,30534,27598,2000,24641,26344,2000,0
-1,30,300000,688,3280,3288,0,4340,0,800,2672,746,0
-1,22,50000,8567,15273,15000,11650,7457,1000,7725,3115,10000,0
1,24,50000,-709,-709,0,-709,-2898,0,-3272,-3272,0,1
1,29,360000,0,0,0,77,0,77,0,0,0,0
1,56,130000,64617,65978,3000,67282,68557,3000,71345,72796,0,1
-2,30,80000,6187,100,504,600,1438,500,5380,1919,0,0
1,30,50000,48860,47801,0,48363,30221,1500,22361,22877,2000,0
0,22,20000,16001,12622,1212,13221,13130,1201,14906,14034,1000,0
0,29,80000,77883,81811,5800,80250,61467,1000,11486,10662,0,0
-1,37,240000,12212,26578,15000,25331,26605,0,1256,26279,65935,0
0,35,80000,49608,12412,12500,14873,17364,6500,17460,17770,2000,0
0,47,500000,56422,110616,70010,110340,122967,30357,70064,108834,20000,0
0,24,60000,58024,57891,2500,48839,18971,1600,19395,19323,2000,1
0,25,20000,10642,11677,1200,13070,12280,1593,1620,1615,0,0
1,38,100000,14483,13961,0,15323,16268,1600,16448,15868,1500,1
1,32,360000,2616,57077,57087,5287,68445,5295,16240,13881,38313,0
2,47,200000,199436,202947,8214,193936,196186,7000,189915,200162,6836,1
1,34,130000,0,5396,5396,10270,13576,5000,14636,13864,2000,0
1,31,20000,21703,21087,0,21461,20835,1000,20487,20219,0,0
0,32,310000,59901,62147,10020,62102,65875,6031,43328,60387,4223,0
2,27,60000,19625,20347,1342,21669,23005,1664,22873,22499,846,1
-1,29,180000,11386,199,199,0,0,0,17042,17227,5114,0
-1,24,180000,14670,22087,37867,21282,10200,0,0,0,0,0
0,36,50000,47790,18114,2000,18250,-14,1000,658,72,20011,0
1,24,50000,36166,37188,1900,37680,38462,1400,40035,39228,0,1
-2,34,150000,0,0,0,0,116,0,1500,0,0,0
0,22,20000,18553,19446,1500,19065,8332,1032,19247,18868,1000,0
-2,34,500000,412,138,138,2299,1251,2299,1151,1206,15816,0
1,22,30000,29010,29256,1000,28122,29836,85,0,1630,0,1
-2,38,180000,750,0,0,0,0,0,0,0,0,0
0,31,140000,27123,27299,25000,17985,20225,0,10833,27407,2500,0
-1,26,140000,13424,18000,10000,13001,5818,13001,487,13506,7004,0
0,26,120000,107314,110578,5000,113736,116000,5000,122135,119131,5000,0
0,48,360000,226430,231878,9100,234192,190211,7300,146511,173557,4100,0
-1,43,20000,227,20351,22359,20237,19339,1305,19337,19450,1700,0
-1,47,100000,390,1473,1473,390,390,390,0,390,2380,0
-1,41,210000,3088,1586,1586,343,3763,343,0,877,419,1
0,24,80000,81625,81554,3200,79599,49552,3000,49568,49509,1800,1
-1,50,330000,8872,4337,4345,2854,1690,2854,1709,0,258,0
0,24,220000,105607,108917,5000,111520,8303,5050,85632,0,0,0
1,38,210000,0,0,0,250,123,250,1222,789,9616,1
0,43,40000,38257,38901,1700,38103,36207,1504,31339,33138,1000,0
0,39,30000,28347,28108,3036,18388,12992,2309,8032,7736,148,0
2,27,470000,296573,303320,13000,307843,479978,11001,309959,305145,10367,0
-1,42,30000,390,390,390,390,240,390,780,1320,0,0
1,36,240000,-946,-946,0,-946,-946,0,-946,-946,0,1
2,36,80000,79278,78501,3100,78534,80016,3500,78245,76235,3000,0
0,31,110000,89989,84229,4000,79288,73315,5000,63208,63818,8954,0
-1,38,310000,1424,4542,4542,126,0,126,0,0,0,0
2,40,360000,105167,115468,12000,112157,114690,0,120238,117845,4700,1
0,45,330000,335196,334954,12388,335527,333860,12378,330121,335760,11678,0
0,35,300000,291619,297268,12019,205629,215827,9006,212508,208464,15000,0
0,33,320000,91653,94037,10042,108597,65913,18832,33263,43805,3754,0
1,37,50000,52626,51537,0,49205,30394,24,29957,30249,30592,1
0,28,170000,130370,131199,6530,128900,125514,4860,128839,127280,4962,0
-1,44,350000,3265,2686,2686,1864,569,1864,0,0,0,0
0,37,20000,16455,16511,1609,18902,18768,3000,19175,18650,782,0
2,23,50000,49758,48456,2401,44116,21247,2254,18858,20066,1004,1
1,24,20000,19154,18165,0,17233,7630,1333,0,1730,3200,0
0,24,50000,35084,35796,2090,30937,19420,2002,1308,10385,389,0
1,23,20000,20235,17132,0,16856,16875,1200,10104,13454,10000,1
0,26,50000,102800,0,0,0,2624,0,46557,45567,2000,0
2,34,190000,129801,131383,5000,134379,142323,5000,150052,140120,2769,1
0,33,60000,58203,36367,1506,20934,20694,1298,19421,20175,599,0
-1,35,80000,7988,3977,3983,6848,1719,6853,19942,1378,2418,0
0,27,150000,127402,110050,4500,51547,44384,1745,29497,36900,2529,0
-2,31,210000,1440,0,0,7422,893,7422,2293,6082,3299,0
0,50,240000,234205,231669,10116,214642,207642,9150,214694,210375,7714,1
0,41,140000,19346,21708,3000,22940,19068,2000,16383,16409,2399,1
1,28,60000,21501,20650,0,0,0,0,2285,0,0,0
0,39,50000,47174,47974,1800,48630,50803,2000,15874,30789,2000,0
0,27,50000,26655,27724,1800,28676,27990,1750,29399,28790,1100,0
-1,32,180000,3139,5853,2821,2821,0,0,0,2821,176,0
-1,40,30000,142,215,355,139,19,120,79,19,60,0
0,40,20000,19816,20396,1601,20102,19575,2203,0,0,0,0
0,75,250000,52874,1631,1631,1536,1010,1536,794,5572,1184,0
0,27,100000,37767,34457,1788,30036,30337,1799,32904,30997,0,0
0,25,330000,46140,45781,2504,48139,51137,4007,25358,39450,2566,0
0,46,50000,35713,15392,1561,16099,16418,1268,17484,16765,2000,0
1,26,50000,50867,51486,1710,48869,30115,136,29998,29527,3003,0
0,28,30000,29242,29507,5006,29155,25255,1244,0,22001,0,0
0,26,140000,101551,105246,5366,104781,105334,5087,106828,107699,3304,1
0,28,160000,70243,47779,7042,28052,7222,2000,84426,99669,10000,0
-1,29,400000,19532,3719,3127,1453,4944,1469,2486,1896,862,0
0,25,50000,27699,28513,1565,29341,29928,1393,28538,29533,886,0
0,48,140000,1154,1233,1233,862,1355,1075,21361,1130,1347,0
-1,33,160000,8015,2453,2453,9624,52572,9880,2210,7333,0,0
0,43,100000,62170,0,0,0,0,0,0,0,0,0
2,48,220000,210380,213522,10000,201852,169115,9020,162402,172169,5500,1
0,29,510000,78331,99414,40010,107686,103776,20094,36739,87265,65000,0
0,29,50000,49276,35100,1602,32563,27823,1400,28309,29130,6318,0
-1,38,160000,4473,4664,4664,5969,18941,5969,12652,16578,1916,0
-2,37,230000,2283,50815,51315,0,0,0,338,299,0,0
-1,37,80000,10115,249,258,5986,188,5995,16872,1644,4000,0
-1,25,150000,6156,0,0,0,316,0,316,316,316,0
0,23,10000,6974,7838,1134,9002,9182,1298,9411,9729,175,0
0,49,130000,89003,91362,4100,72197,49654,3095,27500,28065,0,1
0,48,40000,34871,34449,1600,33634,34586,1600,35673,34762,1500,0
3,27,50000,13694,14880,1700,14242,13968,0,2614,14319,1390,1
0,32,100000,70003,31545,2035,20974,19713,2004,18126,19848,2015,0
-1,34,120000,1082,632,0,1350,900,1350,0,450,450,0
1,58,260000,0,0,0,0,0,0,0,0,0,1
0,33,200000,11253,12852,2000,14024,14512,1322,11905,16325,3000,0
-2,28,360000,0,0,0,0,0,0,0,0,0,1
0,36,70000,68699,69120,4483,68376,30163,12496,15085,14310,2000,0
2,40,460000,171,2715,2728,-13,2641,0,22535,-10,0,1
-1,26,50000,1156,316,316,316,316,316,316,316,316,0
0,33,50000,50859,50462,2007,50654,20046,2199,19703,20067,697,0
0,31,250000,103109,102594,4000,97109,99029,4500,101299,100871,4400,0
0,27,30000,1512,2458,1000,664,1814,664,0,0,0,0
0,44,270000,127543,109189,10063,92630,69669,5162,43414,44149,31031,0
0,30,180000,163935,153152,7722,147032,122196,6091,70204,103692,3211,0
0,28,100000,53494,52656,4173,52600,52336,3000,56265,55831,3000,0
0,32,230000,195126,88743,5000,92195,94814,5000,98457,98182,5000,0
-1,46,210000,110346,41986,41986,21874,20076,21874,586,16171,19777,0
2,38,210000,60502,62804,3276,62769,62683,2026,46549,63663,2502,0
0,46,440000,180641,181557,8610,149944,113135,6907,97622,105280,2701,0
2,25,100000,70896,71678,3472,70125,69856,2092,51365,69718,1559,1
0,46,240000,8751,9900,1295,10605,10765,1000,4311,11765,1000,0
-1,33,280000,898,898,898,325,898,325,-339603,325,345293,1
1,22,50000,0,0,0,0,0,0,0,0,0,1
3,43,30000,1700,2610,1100,1914,2182,0,2566,2000,0,0
0,27,10000,7015,10227,3507,9560,9901,0,10182,9963,700,1
1,29,130000,0,0,0,0,0,0,0,0,1500,0
0,31,200000,194353,197344,9000,186292,133345,7465,133990,133634,5300,0
-1,29,120000,1686,657,657,2179,1423,2319,1820,0,2496,0
0,36,210000,143225,142996,6483,144415,148190,5082,131629,147993,4700,0
0,36,280000,58983,60788,2755,63225,29701,3463,30771,30172,2000,0
1,34,300000,0,0,0,13001,12601,13001,203,19595,0,1
0,37,100000,99209,98222,3490,67185,66926,2332,64513,66796,2305,0
-2,36,440000,0,0,0,0,0,0,0,0,0,0
0,40,50000,49941,51213,2400,12104,12898,1206,14458,13687,1000,0
0,25,20000,11968,14564,2800,27820,15824,0,12510,15761,2000,1
-1,27,200000,871,665,665,960,4242,960,7414,4084,2880,0
-2,26,110000,432,3220,3220,5704,1256,5904,400,1848,0,0
-1,36,500000,10483,23956,23962,0,8500,0,0,4590,0,0
1,27,300000,0,5215,5215,0,0,0,0,0,0,0
2,55,30000,9720,10613,1200,11339,12841,1200,14514,13836,1500,1
-1,27,60000,20847,13801,13809,14366,4889,14583,11736,273,0,0
-1,38,400000,3697,3600,1000,1354,5322,1354,2077,5103,9085,0
0,34,180000,143301,146333,7000,147042,127814,5000,132845,130331,5100,0
0,40,20000,10934,13738,3000,16567,10411,3100,14340,13057,0,0
-1,49,200000,52439,51040,0,56205,54723,6000,59983,58657,3000,1
0,27,100000,55734,52557,1631,33415,28776,1286,6441,17580,200,0
0,23,60000,49507,33282,1970,34312,17277,2000,19346,17808,616,1
0,36,110000,47819,48947,2200,50330,50894,2500,53652,52175,2200,0
1,53,260000,0,165,165,526,452,526,485,397,459,0
3,46,50000,48522,50955,3754,29516,29742,1,24883,29898,654,0
1,29,180000,-2,-2,0,-2,-2,0,-2,-2,0,0
1,29,110000,58362,56598,2500,51908,48647,0,47969,47862,2000,1
0,27,340000,172180,180140,21105,166281,155628,5461,103263,145645,50000,0
-1,24,50000,1399,2441,1070,3865,7476,1500,8085,8384,1000,0
0,28,230000,26361,18826,1710,1100,2100,1100,6173,767,1000,1
0,32,360000,93029,94054,10000,91834,95631,7000,100738,100123,10000,0
1,43,210000,0,0,0,38013,40555,38013,37056,45075,3000,0
-1,41,220000,650,650,325,325,950,0,325,475,325,1
2,34,60000,24898,27976,3800,27233,30184,0,30225,29566,1291,1
-2,55,340000,50396,44665,44665,8300,2190,8321,7416,24599,77195,0
2,40,150000,99855,102586,5200,100064,104975,0,109428,107147,4200,0
